Parking ID,Car Park Name (English),Car Park Name (Traditional Chinese),Car Park Name (Simplified Chinese),Basic Information,Parking Vacancy Data
TDC14P2116,Cheung Wah - Cheung Yu Hs.,祥華A場,祥华A场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p2116.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p2116.json
TDC14P2117,Cheung Wah - Cheung Chung Hs. Car Park ,祥華B停車場,祥华B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p2117.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p2117.json
TDC14P2118,Choi Yuen Car Park A ,彩園A停車場,彩园A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p2118.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p2118.json
TDC14P2119,Choi Yuen Car Park B,彩園B停車場,彩园B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p2119.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p2119.json
TDC14P2120,Choi Yuen Car Park C,彩園C停車場,彩园C停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p2120.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p2120.json
TDC14P2121,Choi Yuen D,彩園D場,彩园D场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p2121.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p2121.json
TDC14P3201,Hin Keng Car Park ,顯徑停車場,显径停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3201.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3201.json
TDC14P3202,Ka Tin Car Park,嘉田停車場,嘉田停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3202.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3202.json
TDC14P3204,Lung Hang A Car Park ,隆亨A停車場,隆亨A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3204.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3204.json
TDC14P3206,Sun Chui Car Park ,新翠停車場,新翠停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3206.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3206.json
